form	lemma_def	pos	type	src_mot
diligens	diligent	adjectif	qualificatif	
disciplinam	discipliné	adjectif	qualificatif	
disciplinéz	discipliné	adjectif	qualificatif	
discrès	discret	adjectif	qualificatif	
discrès	discré	adjectif	qualificatif	
diseteux	disetteux	adjectif	qualificatif	
dissemblanz	dissemblant	adjectif	qualificatif	
diuin	divin	adjectif	qualificatif	
díverses	divers	adjectif	qualificatif	
dohec	doux	adjectif	qualificatif	
dolentz	dolent	adjectif	qualificatif	
doleruse	douloureux	adjectif	qualificatif	
doloreuse	douloureux	adjectif	qualificatif	
doloruse	douloureux	adjectif	qualificatif	
doloureux	douloureux	adjectif	qualificatif	
dolurus	douloureux	adjectif	qualificatif	
dommagable	dommageable	adjectif	qualificatif	
dommageable	dommageable	adjectif	qualificatif	
dongereuse	dangereux	adjectif	qualificatif	
doos	deux	adjectif	qualificatif	
doos	doux	adjectif	qualificatif	
dorée	doré	adjectif	qualificatif	
dotouse	douteux	adjectif	qualificatif	
doubliere	doublier	adjectif	qualificatif	
doubteuse	douteux	adjectif	qualificatif	
doubteux	douteux	adjectif	qualificatif	
doubteuz	douteux	adjectif	qualificatif	
doucetez	doucet	adjectif	qualificatif	
doucez	doux	adjectif	qualificatif	
doulans	dolent	adjectif	qualificatif	
doulant	dolent	adjectif	qualificatif	
doulentes	dolent	adjectif	qualificatif	
doulereux	douloureux	adjectif	qualificatif	
douloreux	douloureux	adjectif	qualificatif	
douloureuse	douloureux	adjectif	qualificatif	
douloureuses	douloureux	adjectif	qualificatif	
doutable	doutable	adjectif	qualificatif	
douteus	douteux	adjectif	qualificatif	
douteuse	douteux	adjectif	qualificatif	
dovant	ovant	adjectif	qualificatif	
doyen	doyen	adjectif	qualificatif	
doze	douze	adjectif	cardinal	
dreiturers	droiturier	adjectif	qualificatif	
dreituríere	droiturier	adjectif	qualificatif	
dreituríers	droiturier	adjectif	qualificatif	
droicturier	droiturier	adjectif	qualificatif	
droicturiere	droiturier	adjectif	qualificatif	
droicturiers	droiturier	adjectif	qualificatif	
droitez	droit	adjectif	qualificatif	
droittes	droit	adjectif	qualificatif	
droitz	droit	adjectif	qualificatif	
duces	doux	adjectif	qualificatif	
duí	deux	adjectif	qualificatif	
dulcissimus	doux	adjectif	qualificatif	
duleruse	douloureux	adjectif	qualificatif	
dulurus	douloureux	adjectif	qualificatif	
durette	duret	adjectif	qualificatif	
durfeu	durfeu	adjectif	qualificatif	
durfeüs	durfeu	adjectif	qualificatif	
dutus	douteux	adjectif	qualificatif	
dutuse	douteux	adjectif	qualificatif	
duy	deux	adjectif	cardinal	
duzime	douzième	adjectif	cardinal	
duzíme	douzième	adjectif	qualificatif	
dyabolique	diabolique	adjectif	qualificatif	
dyaboliques	diabolique	adjectif	qualificatif	
ébiscopal	épiscopal	adjectif	qualificatif	
ebreus	hébreu	adjectif	qualificatif	
ebrieux	hébreu	adjectif	qualificatif	
ecclesiaste	ecclésiaste	adjectif	qualificatif	
edis	aidif	adjectif	qualificatif	
efficient	efficient	adjectif	qualificatif	
egalle	égal	adjectif	qualificatif	
egaulx	égal	adjectif	qualificatif	
egipcïenne	égyptien	adjectif	qualificatif	
egiptiene	égyptien	adjectif	qualificatif	
egiptienne	égyptien	adjectif	qualificatif	
egyptien	égyptien	adjectif	qualificatif	
egyptïen	égyptien	adjectif	qualificatif	
elas	las	adjectif	qualificatif	
empée	hampé	adjectif	qualificatif	
emperïalz	empérial	adjectif	qualificatif	
emple	ample	adjectif	qualificatif	
enarravit	arabi	adjectif	qualificatif	
enchantierres	enchanteur	adjectif	qualificatif	
encombreuse	encombreux	adjectif	qualificatif	
encumbrus	encombreux	adjectif	qualificatif	
endablé	endeble	adjectif	qualificatif	
enfernals	infernal	adjectif	qualificatif	
