form	lemma_def	pos	type	src_mot
sçeurement	sûrement	ADVgen	_	_
scilicet	scilicet	ADVgen	_	_
secrètement	secrètement	ADVgen	_	_
secrettement	secrètement	ADVgen	_	_
seculerment	séculièrement	ADVgen	_	_
semprés	sempres	ADVgen	_	_
seneement	senéement	ADVgen	_	_
sérement	chèrement	ADVgen	_	_
sérement	serrément	ADVgen	_	_
serréément	serrément	ADVgen	_	_
sertainement	certainement	ADVgen	_	_
seulment	seulement	ADVgen	_	_
seurquetout	ensurquetout	ADVgen	_	_
seurtout	surtout	ADVgen	_	_
severálment	sévéralment	ADVgen	_	_
siféitement	sifaitement	ADVgen	_	_
siféitement	faitement	ADVgen	_	_
silec	cilec	ADVgen	_	_
silec	illuec	ADVgen	_	_
silec	là	ADVgen	_	_
sin	si.en	ADVgen.PROadv	_	_
singulierement	singulièrement	ADVgen	_	_
siqe	siques	ADVgen	_	_
sitoust	sitôt	ADVgen	_	_
sodemant	soudement	ADVgen	_	_
soigneusement	soigneusement	ADVgen	_	_
soingneusement	soigneusement	ADVgen	_	_
soldeemant	soudement	ADVgen	_	_
soldeement	soudement	ADVgen	_	_
solempnellement	solennellement	ADVgen	_	_
solempnelment	solennellement	ADVgen	_	_
solennelment	solennellement	ADVgen	_	_
sollempneement	solennément	ADVgen	_	_
sollempnellement	solennellement	ADVgen	_	_
soltilment	subtilement	ADVgen	_	_
somptueusement	somptueusement	ADVgen	_	_
soniousement	soigneusement	ADVgen	_	_
sotement	sottement	ADVgen	_	_
soubdainement	soudainement	ADVgen	_	_
soubrement	sobrement	ADVgen	_	_
soubtilment	subtilement	ADVgen	_	_
soudeinnement	soudainement	ADVgen	_	_
souffisamment	suffisamment	ADVgen	_	_
souffisemment	suffisamment	ADVgen	_	_
soufisanment	suffisamment	ADVgen	_	_
soufisaument	suffisamment	ADVgen	_	_
souflement	soufflement	ADVgen	_	_
soupiranment	soupiramment	ADVgen	_	_
soutieument	subtilement	ADVgen	_	_
soutiment	subtilement	ADVgen	_	_
soutiment	sottement	ADVgen	_	_
soutiment	soudement	ADVgen	_	_
soutiument	subtilement	ADVgen	_	_
souventeffois	souventesfois	ADVgen	_	_
souventeffoys	souventesfois	ADVgen	_	_
souventefoiz	souventesfois	ADVgen	_	_
souventesfois	souventesfois	ADVgen	_	_
souventesfoiz	souventesfois	ADVgen	_	_
souverainement	souverainement	ADVgen	_	_
